year,rider_id,name,team,class,cost,selected_pct,total_points,overall_rank
2024,20240450,Luke Durbridge,Team Jayco AlUla,Unclassed,4,4.6,14,159
2024,20240066,Yevgeniy Fedorov,Astana Qazaqstan Team,Unclassed,6,0.1,13,160
2024,20240700,Jarrad Drizners,Lotto Dstny,Unclassed,4,0.8,12,161
2024,20240703,Sébastien Grignard,Lotto Dstny,Unclassed,4,1.1,12,161
2024,20240059,Amaury Capiot,Arkéa - B&B Hotels,Unclassed,6,0.2,8,163
2024,20240033,Luca Mozzato,Arkéa - B&B Hotels,Sprinter,6,0.2,8,163
2024,20240094,Jack Haig,Bahrain - Victorious,Climber,6,2.8,8,163
2024,20240084,Michael Mørkøv,Astana Qazaqstan Team,Unclassed,4,7.8,8,163
2024,20240667,Guillaume Boivin,Israel - Premier Tech,Unclassed,4,3.4,8,163
2024,20240452,Elmar Reinders,Team Jayco AlUla,Unclassed,4,1.1,8,163
2024,20240128,Nico Denz,BORA - hansgrohe,Unclassed,6,1.3,7,169
2024,20240384,Casper Pedersen,Soudal - Quick Step,Unclassed,6,0.9,6,170
2024,20240149,Jesús Herrada,Cofidis,Climber,6,1.5,0,171
2024,20240153,Alexis Renard,Cofidis,Unclassed,6,0.1,0,171
2024,20240185,Nans Peters,Decathlon AG2R La Mondiale Team,Unclassed,6,0.1,0,171
2024,20240186,Nicolas Prodhomme,Decathlon AG2R La Mondiale Team,Unclassed,6,0.1,0,171
2024,20240083,Michele Gazzoli,Astana Qazaqstan Team,Unclassed,4,1.5,0,171
2024,20240342,Tim Declercq,Lidl - Trek,Unclassed,4,8.5,0,171
