year,rider_id,name,round,round_label,stg,gc,pc,kom,spr,sum,bky,ass,tot
2023,20230123,Pello Bilbao,14,Stage 14,80,13,0,0,0,0,0,0,93
2023,20230123,Pello Bilbao,15,Stage 15,0,14,0,0,0,0,0,8,22
2023,20230123,Pello Bilbao,16,Stage 16,140,14,0,0,0,0,0,0,154
2023,20230123,Pello Bilbao,17,Stage 17,160,15,0,0,0,15,0,0,190
2023,20230123,Pello Bilbao,18,Stage 18,0,15,0,0,0,0,0,0,15
2023,20230123,Pello Bilbao,19,Stage 19,0,15,0,0,0,0,0,10,25
2023,20230123,Pello Bilbao,20,Stage 20,80,15,0,0,0,0,0,0,95
2023,20230123,Pello Bilbao,21,Stage 21,0,15,0,0,0,0,0,0,15
2023,20230123,Pello Bilbao,22,Final Classifications,0,260,10,0,0,0,0,20,290
2023,20230019,Felix Gall,1,Stage 1,0,0,0,0,0,0,0,0,0
2023,20230019,Felix Gall,2,Stage 2,0,0,0,0,0,0,0,0,0
2023,20230019,Felix Gall,3,Stage 3,0,0,0,0,0,0,0,0,0
2023,20230019,Felix Gall,4,Stage 4,0,0,0,0,0,0,0,0,0
2023,20230019,Felix Gall,5,Stage 5,160,0,0,12,1,40,0,0,213
2023,20230019,Felix Gall,6,Stage 6,25,1,0,8,0,0,0,0,34
2023,20230019,Felix Gall,7,Stage 7,0,1,0,8,0,0,0,0,9
2023,20230019,Felix Gall,8,Stage 8,0,3,0,8,0,0,0,0,11
2023,20230019,Felix Gall,9,Stage 9,0,5,0,8,0,0,0,0,13
2023,20230019,Felix Gall,10,Stage 10,0,5,0,8,0,0,0,2,15
2023,20230019,Felix Gall,11,Stage 11,0,5,0,8,0,0,0,0,13
2023,20230019,Felix Gall,12,Stage 12,0,4,0,6,0,0,0,0,10
2023,20230019,Felix Gall,13,Stage 13,30,7,0,2,0,0,0,0,39
2023,20230019,Felix Gall,14,Stage 14,95,12,0,2,0,4,0,0,113
2023,20230019,Felix Gall,15,Stage 15,0,10,0,1,0,0,0,0,11
